-1.12	0	4.487	8.975	17.95	22.438	35.9	53.85	71.8	89.75	107.7	125.65	143.6	160.063	161.55	170.525	175.012	179.5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1.011	1.011	3.702	7.14	8.525	12.3	14.5	15	14.899	14.34	12.731	10.226	9.913	7.517	5.958	2.168	0
0	0.223	0.223	4.458	8.569	10.064	12.979	14.632	15	14.944	14.479	13.118	10.492	10.162	7.632	6.004	2.168	0
3.52	3.903	4.3	6.4135	8.939	10.6925	12.5055	14.1435	14.885	14.972	14.721	13.8685	12.032	10.4615	9.0345	7.0295	4.182	0.274
7.031	7.583	8.369	8.369	9.309	11.321	12.032	13.655	14.77	15	14.963	14.619	13.572	10.761	10.437	8.055	6.196	0.548
11.795	11.883	12.264	12.264	12.694	13.593	13.943	14.72	14.984	15	15.003	14.821	14.256	12.147	11.92	10.334	8.56	0
0	0	0	0	0	0	20.2	20.125	20.194	20.26	17.583	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
